sentence,item_start,item_end,amount_start,amount_end
Amount paid for Strawberry was 22300 rupees.,16,26,31,36
"In March, Farmer earned 38334 ₹ from Bottle Gourd sales.",37,49,24,29
"A week ago, Harvested turmeric and sold for 43865 ₹.",22,30,44,49
"On Monday, Bought nursery plants today and paid 22556 Rs..",18,32,48,53
"Earlier today, Sold lily bulbs in the market and earned 30303 rupees.",20,30,56,61
"On Monday, Farmer purchased Orange for 37476 rupees.",28,34,39,44
"A week ago, Sold fishing nets in the market and earned 1852 ₹.",17,29,55,59
"On Monday, Received 706 Rs. from selling Drumstick.",41,50,20,23
"A week ago, I invested 8908 Rs. for buying fish fingerlings.",43,59,23,27
We spent 11944 Rs. on honey extractor repair.,22,37,9,14
"During the season, Harvested figs and sold for 25093 INR.",29,33,47,52
The cost of duck feed is 4718 Rs..,12,21,25,29
"Recently, Market sale of Coconut gave 7839 rupees.",25,32,38,42
"Last month, They charged 29070 rupees for papaya tree.",42,53,25,30
"In March, I gave 15721 rupees as investment for figs.",48,52,17,22
"Earlier today, Today, cotton bales is sold for 32738 rupees.",22,34,47,52
"Yesterday, almond trees was sold for 45028 ₹ yesterday.",11,23,37,42
"During the season, Quoted price for Apple is 10043 rupees.",36,41,45,50
"Today, Current rate of fish fingerlings is 709 INR.",23,39,43,46
"Recently, Current rate of oranges is 6059 ₹.",26,33,37,41
Today’s market rate for mulberry is 8275 INR.,24,32,36,40
"A week ago, Cost of fishing nets amounted to 15258 Rs..",20,32,45,50
"Recently, Purchased Brinjal at 40527 rupees.",20,27,31,36
"Earlier today, Harvested Sapota (Chikoo) and sold for 11814 INR.",25,40,54,59
"Today, Advance of 37437 INR paid for olive saplings.",37,51,18,23
"On Monday, Potato is fetching 41992 rupees this season.",11,17,30,35
"A week ago, They charged 37437 INR for turmeric.",39,47,25,30
"Yesterday, Harvest of Onion brought in 47131 Rs..",22,27,39,44
"Recently, The cost of Guava is 40815 ₹.",22,27,31,36
"Early morning, Amount due for Strawberry is 13442 Rs..",30,40,44,49
"In the evening, jasmine plants was given for 39038 ₹ per kilo.",16,30,45,50
The market price of Fig was 1575 rupees.,20,23,28,32
"During the season, Bought turmeric today and paid 39622 ₹.",26,34,50,55
"Last month, weed killer was sold for 16987 Rs. yesterday.",12,23,37,42
"In the evening, The bill for Onion came to 31632 INR.",29,34,43,48
Amount due for drip irrigation system is 41289 rupees.,15,37,41,46
"Today, mango tree was given for 48931 rupees per kilo.",7,17,32,37
"In the evening, Acquired Date Palm by paying 43558 Rs..",25,34,45,50
"Earlier today, honey extractor is fetching 1480 INR this season.",15,30,43,47
"Earlier today, fishing nets is sold for 13695 INR today.",15,27,40,45
"In the evening, Rs. 16559 was spent on apples.",39,45,20,25
"In the evening, Today’s market rate for cotton bales is 7441 Rs..",40,52,56,60
"Recently, Paid full amount 39689 Rs. for herbicide delivery.",41,50,27,32
"On Monday, Got 40333 INR for Strawberry this morning.",29,39,15,20
"On Monday, Sale price of harrow was 20625 ₹.",25,31,36,41
"Recently, I gave 42051 ₹ as investment for cattle shed.",43,54,17,22
"Just now, harrow is sold for 10366 Rs. today.",10,16,29,34
They charged 9989 ₹ for harvesting machine.,24,42,13,17
"Earlier today, We bought goat pen for 30943 Rs. at the weekly market.",25,33,38,43
"Earlier today, Sale price of ginger was 31810 rupees.",29,35,40,45
"For pepper, the price was 36647 rupees.",4,10,26,31
"Recently, Cost of drip irrigation kit amounted to 3810 INR.",18,37,50,54
"Recently, Current rate of Strawberry is 24001 Rs..",26,36,40,45
"Early morning, donkeys fetched 14498 Rs. at the auction.",15,22,31,36
Amount paid for Tamarind was 37361 ₹.,16,24,29,34
"Early morning, Current rate of tea leaves is 43485 ₹.",31,41,45,50
"Early morning, Peas fetched 34631 ₹ at the auction.",15,19,28,33
"During the season, The cost of Sweet Potato is 6697 rupees.",31,43,47,51
"During the season, Bought wind turbines today and paid 26099 rupees.",26,39,55,60
"In the evening, Amount due for irrigation pipe is 33502 ₹.",31,46,50,55
"Yesterday, Cost of poultry cage amounted to 5036 rupees.",19,31,44,48
"A week ago, For Peach, the price was 32280 rupees.",16,21,37,42
"In March, ginger is sold for 37095 rupees today.",10,16,29,34
"During the season, The cost of Sweet Potato is 20036 INR.",31,43,47,52
"A week ago, Total earnings from Pomegranate were 46031 rupees.",32,43,49,54
"On Monday, sheep price today is 12755 INR.",11,16,32,37
"In March, milking machine was sold for 38115 INR yesterday.",10,25,39,44
"Earlier today, Amount paid for tulip bulbs was 382 rupees.",31,42,47,50
"Today, Sold onion seeds in the market and earned 16190 rupees.",12,23,49,54
"Early morning, The bill for Apricot came to 9008 rupees.",28,35,44,48
"Earlier today, milk is worth 7077 INR now.",15,19,29,33
"Earlier today, turmeric is billed at 4952 INR.",15,23,37,41
"A week ago, I spent 45425 Rs. on corn seeds last month.",33,43,20,25
"Early morning, Current rate of Bottle Gourd is 45440 INR.",31,43,47,52
"Yesterday, ₹22236 was given to buy lily bulbs.",35,45,12,17
"Yesterday, greenhouse setup purchase cost us 20625 Rs..",11,27,45,50
"Yesterday, Harvest of tulip bulbs brought in 38516 rupees.",22,33,45,50
Used 16985 Rs. to buy herbicide.,22,31,5,10
"Yesterday, Farmer purchased goats for 27778 INR.",28,33,38,43
"Just now, In the local market, chili plants is priced at 2853 ₹.",31,43,57,61
"Recently, water trough goes for 28735 rupees these days.",10,22,32,37
"During the season, Current rate of honey extractor is 38635 Rs..",35,50,54,59
"In March, Sold tomato plants in the market and earned 15514 Rs..",15,28,54,59
"During the season, figs is worth 25374 ₹ now.",19,23,33,38
"On Monday, Acquired soil test kit by paying 41844 INR.",20,33,44,49
"Just now, milk purchase came to 38443 Rs..",10,14,32,37
"In the evening, Today, fishing nets is sold for 7324 INR.",23,35,48,52
"Last month, Bought grain storage bags today and paid 41124 rupees.",19,37,53,58
"On Monday, I invested 44075 rupees for buying Coconut.",46,53,22,27
"Early morning, This season, I paid 15219 ₹ for chickens.",47,55,35,40
"Just now, Farmer purchased chili plants for 4126 ₹.",27,39,44,48
"During the season, Today, soil test kit is sold for 8812 ₹.",26,39,52,56
"Last month, The cost of coconut tree is 10217 rupees.",24,36,40,45
"Recently, Amount due for wind turbines is 1591 ₹.",25,38,42,46
"Today, The expense for corn seeds was 41276 Rs..",23,33,38,43
"On Monday, Payment of 40504 ₹ was made for Watermelon.",43,53,22,27
"Just now, Beet root is fetching 31985 rupees this season.",10,19,32,37
"Last month, Purchased Orange at 21011 ₹.",22,28,32,37
"Early morning, Current rate of Cauliflower is 17699 rupees.",31,42,46,51
"Last month, Farmer earned 26689 ₹ from coconut tree sales.",39,51,26,31
"Yesterday, Bought cabbage plants today and paid 19266 ₹.",18,32,48,53
The bill for jackfruit tree came to 13695 rupees.,13,27,36,41
"Earlier today, The invoice for custard apple shows 24898 rupees.",31,44,51,56
"Recently, Settled 15421 INR for fishing nets purchase.",32,44,18,23
"Recently, I spent 17569 INR on chickens last month.",31,39,18,23
"A week ago, We bought Radish for 2071 INR at the weekly market.",22,28,33,37
"On Monday, Quoted price for Beetroot is 4175 ₹.",28,36,40,44
"Today, Quoted price for Watermelon is 34254 rupees.",24,34,38,43
"In the evening, Used 29388 rupees to buy Sweet Potato.",41,53,21,26
"Earlier today, ₹11761 was given to buy drip irrigation system.",39,61,16,21
"Early morning, Quoted price for grapes is 30278 Rs..",32,38,42,47
"During the season, Rs. 3365 was spent on olive saplings.",41,55,23,27
"In March, They charged 49732 ₹ for raspberry plants.",35,51,23,28
"On Monday, Rs. 38125 was spent on dates.",34,39,15,20
"Recently, The invoice for raspberry plants shows 27983 ₹.",26,42,49,54
"On Monday, Paid 30278 ₹ to buy Pomegranate.",31,42,16,21
"Yesterday, They charged 16240 INR for wind turbines.",38,51,24,29
"Recently, Pumpkin purchase came to 41188 rupees.",10,17,35,40
"Earlier today, duck feed is sold for 34746 rupees today.",15,24,37,42
"Earlier today, Advance of 3904 ₹ paid for corn seeds.",42,52,26,30
"Earlier today, Today’s market rate for mango tree is 49712 INR.",39,49,53,58
"A week ago, Used 47265 Rs. to buy Cauliflower.",34,45,17,22
"Today, Got 22968 Rs. for onion seeds this morning.",25,36,11,16
"In the evening, ₹42689 was given to buy yogurt.",40,46,17,22
"On Monday, I gave 49974 Rs. as investment for Drumstick.",46,55,18,23
"A week ago, solar is sold for 32323 ₹ today.",12,17,30,35
Orange is fetching 25645 ₹ this season.,0,6,19,24
"In the evening, Purchased tulip bulbs at 42280 INR.",26,37,41,46
"A week ago, I gave 26334 rupees as investment for sheep.",50,55,19,24
"During the season, Purchased sheep at 5153 INR.",29,34,38,42
"Recently, Payment of 22236 ₹ was made for solar panels.",42,54,21,26
"In the evening, Sale price of plough repair was 48298 ₹.",30,43,48,53
"A week ago, We spent 39874 ₹ on Coconut repair.",32,39,21,26
"Early morning, We sold carrot seeds for 24118 INR today.",23,35,40,45
"Just now, Quoted price for onion seeds is 26365 INR.",27,38,42,47
"Today, Farmer earned 40134 ₹ from grapes sales.",34,40,21,26
"Just now, Carrot is sold for 24862 ₹ today.",10,16,29,34
"Early morning, Payment of 40621 ₹ was made for goat.",47,51,26,31
"In the evening, Got 24532 ₹ for weed killer this morning.",32,43,20,25
"Today, custard apple is sold for 32323 ₹ today.",7,20,33,38
"On Monday, Bought cow today and paid 11724 rupees.",18,21,37,42
"Earlier today, Purchased Bottle Gourd at 34757 ₹.",25,37,41,46
"A week ago, Received 709 ₹ from selling blueberry plants.",40,56,21,24
Watermelon is fetching 5256 Rs. this season.,0,10,23,27
"A week ago, This season, I paid 47377 Rs. for chili plants.",46,58,32,37
"In March, Cost of Mulberry amounted to 15079 rupees.",18,26,39,44
"Early morning, Current rate of Pomegranate is 3089 Rs..",31,42,46,50
"A week ago, Bought cabbage plants today and paid 43635 ₹.",19,33,49,54
"In the evening, Rs. 33813 was spent on honey extractor.",39,54,20,25
Acquired tea leaves by paying 30803 INR.,9,19,30,35
"A week ago, Farmer purchased Watermelon for 11286 INR.",29,39,44,49
"In March, Purchased Turnip at 24215 INR.",20,26,30,35
"Recently, Quoted price for Blueberry is 2715 Rs..",27,36,40,44
"Just now, ₹31844 was given to buy Cabbage.",34,41,11,16
"On Monday, plough repair goes for 25852 ₹ these days.",11,24,34,39
"Earlier today, Quoted price for Mulberry is 27357 ₹.",32,40,44,49
"Early morning, The expense for banana tree was 37476 rupees.",31,42,47,52
"Yesterday, Acquired Onion by paying 7324 INR.",20,25,36,40
The expense for fish fingerlings was 45932 ₹.,16,32,37,42
We sold horses for 13970 Rs. today.,8,14,19,24
"In March, Quoted price for coffee beans is 43611 Rs..",27,39,43,48
"In the evening, The invoice for guava shows 28612 Rs..",32,37,44,49
"Earlier today, Harvest of greenhouse setup brought in 45905 Rs..",26,42,54,59
"Early morning, The bill for Spinach came to 40620 Rs..",28,35,44,49
I spent 11881 ₹ on chickens last month.,19,27,8,13
"In the evening, Harvest of sheep brought in 30867 ₹.",27,32,44,49
"On Monday, Got 14431 rupees for Blueberry this morning.",32,41,15,20
"Early morning, Payment of 43155 Rs. was made for cocoa pods.",49,59,26,31
"During the season, Harvest of plough repair brought in 33758 INR.",30,43,55,60
"During the season, Spent 9598 INR on purchasing Apricot for my farm.",48,55,25,29
"Last month, Cost of Grapes amounted to 20625 Rs..",20,26,39,44
"A week ago, Cost of water trough amounted to 45610 ₹.",20,32,45,50
"Today, Used 9973 INR to buy rose plants.",28,39,12,16
"Yesterday, Got 26590 ₹ for palm oil this morning.",27,35,15,20
"Early morning, Spent 49712 ₹ on purchasing Kiwi for my farm.",43,47,21,26
"A week ago, ₹8815 was given to buy sprinkler system.",35,51,13,17
"Early morning, palm oil is billed at 48301 rupees.",15,23,37,42
"Early morning, We sold Radish for 34699 ₹ today.",23,29,34,39
"During the season, cabbage plants is worth 26947 ₹ now.",19,33,43,48
"On Monday, Paid full amount 5922 rupees for rice seeds delivery.",44,54,28,32
"Early morning, They charged 48819 rupees for Radish.",45,51,28,33
"A week ago, fungicide purchase came to 36678 INR.",12,21,39,44
"Recently, banana plants goes for 45936 INR these days.",10,23,33,38
"Today, Amount due for palm oil is 8727 ₹.",22,30,34,38
"Yesterday, Farmer purchased jackfruit tree for 28775 ₹.",28,42,47,52
"During the season, We bought fishing nets for 33547 INR at the weekly market.",29,41,46,51
"Early morning, They charged 45019 INR for sheep.",42,47,28,33
"Recently, Cost of guava amounted to 32210 rupees.",18,23,36,41
"A week ago, Paid full amount 43087 ₹ for garlic bulbs delivery.",41,53,29,34
"On Monday, jackfruit tree is fetching 40045 INR this season.",11,25,38,43
"On Monday, Payment of 14131 ₹ was made for Jackfruit.",43,52,22,27
"A week ago, banana plants goes for 40504 rupees these days.",12,25,35,40
"Last month, In the local market, butter is priced at 30782 ₹.",33,39,53,58
"Recently, Spent 25910 INR on purchasing Pineapple for my farm.",40,49,16,21
"Today, Amount due for mulberry is 28150 rupees.",22,30,34,39
"Just now, This season, I paid 34749 rupees for papaya tree.",47,58,30,35
"Just now, In the local market, solar is priced at 15090 Rs..",31,36,50,55
"Earlier today, I spent 10956 ₹ on Blueberry last month.",34,43,23,28
"Just now, They charged 44766 INR for rotavator.",37,46,23,28
"Just now, pigs price today is 46331 INR.",10,14,30,35
"Yesterday, Rs. 31977 was spent on Mango.",34,39,15,20
"Earlier today, solar panels is worth 31993 rupees now.",15,27,37,42
Payment of 25626 rupees was made for solar water pump.,37,53,11,16
"In the evening, Settled 261 rupees for goat pen purchase.",39,47,24,27
"Recently, The market price of sheep was 40035 Rs..",30,35,40,45
"Today, Carrot is sold for 41268 ₹ today.",7,13,26,31
"Early morning, Amount due for Apple is 42326 Rs..",30,35,39,44
"Earlier today, pesticide is worth 39701 rupees now.",15,24,34,39
"In March, poultry feed fetched 31403 rupees at the auction.",10,22,31,36
"On Monday, Received 19005 ₹ from selling Apple.",41,46,20,25
"Recently, Sweet Potato purchase cost us 27357 INR.",10,22,40,45
Spent 48234 rupees on purchasing garlic bulbs for my farm.,33,45,6,11
"Today, Settled 8096 INR for marigold flowers purchase.",28,44,15,19
"During the season, Current rate of poultry cage is 11978 ₹.",35,47,51,56
"Just now, We bought Bottle Gourd for 13695 Rs. at the weekly market.",20,32,37,42
"Yesterday, Used 33521 INR to buy biogas plant.",33,45,16,21
"Last month, Quoted price for garlic bulbs is 25093 INR.",29,41,45,50
"On Monday, bonsai trees purchase came to 3255 ₹.",11,23,41,45
"Early morning, Farmer earned 37174 Rs. from chili plants sales.",44,56,29,34
"Last month, Sapota (Chikoo) was sold for 11978 INR yesterday.",12,27,41,46
"Today, I gave 39622 ₹ as investment for milking machine.",40,55,14,19
"Early morning, Rs. 49071 was spent on buffalo.",38,45,19,24
"In the evening, Farmer earned 23189 rupees from mango saplings sales.",48,62,30,35
"Recently, Capsicum is sold for 37343 INR today.",10,18,31,36
"Early morning, For goat, the price was 38241 INR.",19,23,39,44
"On Monday, Advance of 43905 rupees paid for Radish.",44,50,22,27
Received 9085 ₹ from selling drip irrigation kit.,29,48,9,13
"A week ago, They charged 25935 ₹ for banana tree.",37,48,25,30
"During the season, We spent 7324 INR on blueberry plants repair.",40,56,28,32
Sale price of Plum was 3188 rupees.,14,18,23,27
"Just now, We spent 24087 INR on goats repair.",32,37,19,24
"Yesterday, Got 36232 rupees for duck feed this morning.",32,41,15,20
"Last month, Harvest of sunflower seeds brought in 377 rupees.",23,38,50,53
"In the evening, Paid 14572 INR to buy ducks.",38,43,21,26
"Just now, I invested 31166 Rs. for buying turkeys.",42,49,21,26
"Recently, Acquired honey extractor by paying 34545 rupees.",19,34,45,50
"In March, Harvest of Cabbage brought in 6697 rupees.",21,28,40,44
"Yesterday, cotton bales purchase cost us 17456 ₹.",11,23,41,46
"Today, nursery plants purchase came to 14383 Rs..",7,21,39,44
"On Monday, We spent 28075 INR on mulberry repair.",33,41,20,25
"Earlier today, Amount paid for lily bulbs was 13546 ₹.",31,41,46,51
"Recently, Purchased goat pen at 28242 rupees.",20,28,32,37
"Just now, Carrot purchase cost us 5602 INR.",10,16,34,38
"During the season, The cost of watermelon plants is 42629 ₹.",31,48,52,57
"Earlier today, The cost of Radish is 31533 Rs..",27,33,37,42
"A week ago, I had to pay 36991 rupees for grain storage bags.",42,60,25,30
"Last month, Amount paid for soil test kit was 39772 rupees.",28,41,46,51
"A week ago, Cost of soil test kit amounted to 45837 Rs..",20,33,46,51
"In March, hay bales is sold for 8755 Rs. today.",10,19,32,36
"Last month, Spent 27013 INR on purchasing tea leaves for my farm.",42,52,18,23
"Today, eggplant saplings was sold for 10547 rupees yesterday.",7,24,38,43
"A week ago, This season, I paid 22055 INR for Papaya.",46,52,32,37
"In March, Payment of 28358 INR was made for Pear.",44,48,21,26
"For poultry feed, the price was 44954 rupees.",4,16,32,37
"Earlier today, Current rate of Turnip is 42929 Rs..",31,37,41,46
"Today, Farmer purchased duck feed for 493 ₹.",24,33,38,41
"In the evening, We sold Beet root for 10863 Rs. today.",24,33,38,43
"In March, Bitter Gourd was sold for 45980 INR yesterday.",10,22,36,41
"On Monday, The expense for Green Beans was 10552 INR.",27,38,43,48
"Yesterday, For bees, the price was 1879 INR.",15,19,35,39
"Earlier today, seedling trays is fetching 27551 INR this season.",15,29,42,47
"Just now, Ridge Gourd goes for 9882 ₹ these days.",10,21,31,35
"Yesterday, Settled 923 ₹ for solar water pump purchase.",29,45,19,22
"On Monday, Cost of sunflower seeds amounted to 26553 rupees.",19,34,47,52
"Last month, Paid 49394 ₹ to buy drip irrigation kit.",32,51,17,22
"Just now, Rs. 34206 was spent on blueberry plants.",33,49,14,19
"Yesterday, Amount paid for solar water pump was 30555 ₹.",27,43,48,53
"In the local market, donkeys is priced at 27330 INR.",21,28,42,47
"On Monday, The bill for pepper came to 24236 INR.",24,30,39,44
"In March, Amount paid for onion seeds was 31985 Rs..",26,37,42,47
"Earlier today, Purchased Capsicum at 12497 rupees.",25,33,37,42
"On Monday, We bought tulip bulbs for 15851 INR at the weekly market.",21,32,37,42
"In March, Bought grapes today and paid 34879 rupees.",17,23,39,44
"During the season, Rs. 19153 was spent on hay bales.",42,51,23,28
"Early morning, Payment of 7329 Rs. was made for Sapota (Chikoo).",48,63,26,30
"Earlier today, Got 27513 INR for mango saplings this morning.",33,47,19,24
"Recently, I had to pay 39594 rupees for blackberry plants.",40,57,23,28
"Last month, Farmer purchased fishing nets for 11111 ₹.",29,41,46,51
"Early morning, Amount paid for nursery plants was 47408 rupees.",31,45,50,55
"On Monday, I gave 45416 INR as investment for plough repair.",46,59,18,23
"During the season, Current rate of papaya is 34035 ₹.",35,41,45,50
"Recently, We sold blackberry plants for 18118 INR today.",18,35,40,45
"Recently, Current rate of weed killer is 5122 Rs..",26,37,41,45
"On Monday, Purchased Apricot at 18284 INR.",21,28,32,37
"Yesterday, Spent 14884 ₹ on purchasing lavender plants for my farm.",39,54,17,22
"During the season, seedling trays goes for 15722 INR these days.",19,33,43,48
"During the season, They charged 2484 Rs. for drip irrigation kit.",45,64,32,36
"Just now, I spent 22532 Rs. on Mulberry last month.",31,39,18,23
"On Monday, Cost of Snake Gourd amounted to 22230 ₹.",19,30,43,48
"Recently, Sale price of marigold flowers was 4959 Rs..",24,40,45,49
"Early morning, This season, I paid 21221 rupees for biogas plant.",52,64,35,40
"A week ago, They charged 4622 INR for Carrot.",38,44,25,29
"Yesterday, The market price of chili plants was 43691 rupees.",31,43,48,53
"On Monday, Kiwi purchase came to 38729 ₹.",11,15,33,38
"During the season, fungicide goes for 20996 INR these days.",19,28,38,43
"In the evening, Bottle Gourd fetched 31632 ₹ at the auction.",16,28,37,42
"Today, Current rate of bees is 39622 rupees.",23,27,31,36
"In the evening, pumpkin seeds is billed at 44134 ₹.",16,29,43,48
"In the evening, lemons was given for 15491 INR per kilo.",16,22,37,42
"Early morning, This season, I paid 29529 INR for milk.",49,53,35,40
"In the evening, Farmer purchased solar panels for 25185 rupees.",33,45,50,55
"Earlier today, Harvest of herbicide brought in 24532 rupees.",26,35,47,52
Settled 25191 ₹ for buffalo purchase.,20,27,8,13
"Early morning, Bought Peach today and paid 17013 rupees.",22,27,43,48
"Last month, Market sale of sheep gave 38289 rupees.",27,32,38,43
"Yesterday, Sale price of buffalo was 26365 Rs..",25,32,37,42
"A week ago, Harvest of Coconut brought in 1556 Rs..",23,30,42,46
"In the evening, Paid 27948 Rs. to buy seed drill.",38,48,21,26
"Today, The invoice for almond trees shows 36678 INR.",23,35,42,47
"Today, The bill for Potato came to 25220 ₹.",20,26,35,40
"Earlier today, They charged 33813 rupees for Lady Finger.",45,56,28,33
"Last month, Around noon, I spent 41723 Rs. on aquaculture supplies.",46,66,33,38
"Today, Peach was sold for 19153 ₹ yesterday.",7,12,26,31
"Yesterday, harrow is fetching 552 Rs. this season.",11,17,30,33
"In March, ₹18769 was given to buy Radish.",34,40,11,16
"During the season, We bought wheat seeds for 19409 Rs. at the weekly market.",29,40,45,50
"Recently, Today, guava is sold for 47820 ₹.",17,22,35,40
"Just now, I gave 26357 ₹ as investment for goats.",43,48,17,22
"Last month, lemons purchase cost us 4411 Rs..",12,18,36,40
"Earlier today, Sale price of Green Beans was 10213 rupees.",29,40,45,50
"Recently, Spent 28500 ₹ on purchasing Orange for my farm.",38,44,16,21
"On Monday, Sale price of Cabbage was 12380 rupees.",25,32,37,42
"In March, lavender plants purchase cost us 5256 INR.",10,25,43,47
"In the evening, The bill for goat pen came to 38177 rupees.",29,37,46,51
"Early morning, cattle shed is billed at 12597 Rs..",15,26,40,45
"During the season, Sold Apple in the market and earned 22236 rupees.",24,29,55,60
"During the season, Today, harvesting machine is sold for 46942 Rs..",26,44,57,62
"Yesterday, ₹19409 was given to buy Apple.",35,40,12,17
"Today, ₹30703 was given to buy poultry feed.",31,43,8,13
"During the season, Rs. 49394 was spent on Papaya.",42,48,23,28
"Yesterday, Harvest of banana plants brought in 28014 rupees.",22,35,47,52
solar water pump is billed at 36352 ₹.,0,16,30,35
"A week ago, poultry cage is worth 29703 ₹ now.",12,24,34,39
"Early morning, Got 37192 INR for lychee this morning.",33,39,19,24
The expense for harvesting machine was 33896 rupees.,16,34,39,44
"A week ago, The expense for mango tree was 44778 INR.",28,38,43,48
The market price of tomato plants was 13585 Rs..,20,33,38,43
"Yesterday, For silo repair, the price was 7148 INR.",15,26,42,46
"Earlier today, onion seeds is fetching 33521 INR this season.",15,26,39,44
"In March, I gave 19138 Rs. as investment for Banana.",45,51,17,22
"Yesterday, Orange price today is 45837 rupees.",11,17,33,38
Mango purchase came to 38157 INR.,0,5,23,28
"Yesterday, The cost of nursery plants is 11057 rupees.",23,37,41,46
"Early morning, The cost of Strawberry is 19777 rupees.",27,37,41,46
"Earlier today, Paid 36569 rupees to buy grapes.",40,46,20,25
"Early morning, Market sale of jamun saplings gave 2689 ₹.",30,44,50,54
"Early morning, For Radish, the price was 47820 ₹.",19,25,41,46
"Recently, We spent 32709 INR on Drumstick repair.",32,41,19,24
"In March, Advance of 30781 rupees paid for Snake Gourd.",43,54,21,26
"In March, Sweet Corn is sold for 3618 rupees today.",10,20,33,37
"Today, Advance of 46051 rupees paid for Pineapple.",40,49,18,23
"On Monday, grain storage bags was sold for 10105 INR yesterday.",11,29,43,48
"Last month, farm fencing was sold for 14359 ₹ yesterday.",12,24,38,43
"Today, I gave 47767 ₹ as investment for blackberry plants.",40,57,14,19
"In the evening, Harvested rose plants and sold for 6761 Rs..",26,37,51,55
"Last month, Paid 40594 rupees to buy tomato plants.",37,50,17,22
"A week ago, Harvest of Apricot brought in 30782 ₹.",23,30,42,47
"Just now, Amount due for dragon fruit is 27124 INR.",25,37,41,46
"During the season, We bought jackfruit tree for 13346 ₹ at the weekly market.",29,43,48,53
"Last month, rose plants was given for 40488 rupees per kilo.",12,23,38,43
"Just now, The invoice for Bottle Gourd shows 2212 Rs..",26,38,45,49
"Today, mango tree was sold for 20341 Rs. yesterday.",7,17,31,36
"Earlier today, I invested 18022 ₹ for buying biogas plant.",45,57,26,31
"In March, Farmer earned 29451 ₹ from Pomegranate sales.",37,48,24,29
"A week ago, Sale price of Peach was 28890 ₹.",26,31,36,41
"Recently, We spent 45936 rupees on hay bales repair.",35,44,19,24
"On Monday, water trough purchase came to 40504 Rs..",11,23,41,46
"In the evening, Amount paid for Turnip was 44139 ₹.",32,38,43,48
"A week ago, Turnip fetched 38516 Rs. at the auction.",12,18,27,32
"In March, Onion price today is 7459 rupees.",10,15,31,35
"Just now, ₹41992 was given to buy Watermelon.",34,44,11,16
"Today, organic compost is worth 20399 INR now.",7,22,32,37
Current rate of Jackfruit is 24852 Rs..,16,25,29,34
"A week ago, Harvested wind turbines and sold for 40594 rupees.",22,35,49,54
"During the season, I invested 1036 INR for buying Peach.",50,55,30,34
"In the evening, We spent 33838 INR on Papaya repair.",38,44,25,30
"Early morning, Sold rose plants in the market and earned 3720 rupees.",20,31,57,61
"Recently, The expense for greenhouse setup was 48447 INR.",26,42,47,52
"Today, Total earnings from goats were 9841 Rs..",27,32,38,42
